trigger_branch,cmatch,exp,show,click,charge,acp,ctr2,ctr3,cpm3,avg_qbq
1028,222,dz,20256,1550,366914,2.3671870967741935,0.07652053712480253,0.07821567341171722,185.15113286572134,0.7996959579652491
150,222,dz,230717,30317,6873801,2.2673091005046673,0.1314034076379287,0.15034018328242155,340.867665727774,1.100000023841858
25,223,dz,17923,863,162084,1.878146002317497,0.048150421246443115,0.05142414491717316,96.58205219878441,0.9101362106071794
500,223,dz,372927,44449,6874769,1.5466644918895813,0.11918954647960593,0.16715177496991576,258.5277151022864,0.2855586377612612
1039,222,dz,44235,3387,1291502,3.813114850900502,0.07656832824686334,0.07963977521220814,303.6756095840485,0.8152597236356857
1037,223,exp,7601,412,108163,2.625315533980583,0.05420339429022497,0.055398682264353905,145.4390211106629,1.100000023841858
152,222,dz,200145,27204,9405851,3.4575249963240697,0.1359214569437158,0.15410761021039393,532.8309144262035,1.100000023841858
1042,223,dz,8236,476,60492,1.2708403361344538,0.05779504613890238,0.0625986322987901,79.5528669121515,0.8595447760428349
13,222,exp,87656,7694,2007012,2.608541720821419,0.08777493839554623,0.09478754727673677,247.25727168570054,0.9073140257419944
680,223,dz,9139,395,52113,1.3193164556962025,0.0432213590108327,0.04796599878567092,63.28233151183971,0.0188831733496338
1024,223,dz,254408,12431,2810570,2.2609363687555306,0.048862457155435364,0.05424665185876931,122.64822807071134,0.7126432540979668
151,222,dz,7046,353,438048,12.409291784702548,0.050099347147317626,0.05529448621553885,686.1654135338346,1.100000023841858
114,223,dz,523822,38868,10536159,2.7107540907687557,0.07420077812692098,0.0863138726654971,233.97568341808977,0.9034399524159763
114,222,exp,670761,67737,25881852,3.8209327250985425,0.10098529878749658,0.11613835718841514,443.756849620399,0.9041443481706329
1029,223,exp,35995,1867,231384,1.2393358328869846,0.05186831504375608,0.055007218408414604,68.17241684098877,0.7531371214596206
1020,223,dz,5915,382,87331,2.286151832460733,0.06458157227387996,0.06605568044267682,151.0133148884662,0.9889285191316693
1034,223,dz,4623,310,73161,2.3600322580645163,0.06705602422669263,0.06882770870337478,162.43561278863234,0.9311211847722928
1048,223,dz,1871,84,15204,1.8099999999999998,0.04489577765900588,0.045137023105857065,81.69801182160128,0.8499576517003924
603,223,dz,16445,650,87647,1.3484153846153846,0.039525691699604744,0.04526462395543175,61.03551532033426,0.0
1036,222,exp,54708,3721,1679204,4.512776135447461,0.06801564670614901,0.07136418557373277,322.05059358278515,0.8170533262980455
652,222,exp,27,4,5708,14.27,0.14814814814814814,0.14814814814814814,2114.074074074074,0.2548716509745226
1033,223,exp,1855,192,38073,1.9829687500000002,0.10350404312668464,0.10637119113573407,210.93074792243766,0.969338386244789
25,222,exp,23225,2236,519354,2.3226923076923076,0.09627556512378901,0.10173810173810174,236.3063063063063,0.929740947191594
1007,223,dz,1331,83,26287,3.1671084337349398,0.06235912847483095,0.06365030674846625,201.58742331288343,0.9500051763589548
1024,222,exp,289736,22214,5972732,2.6887242279643466,0.07666979595217716,0.08359078371533828,224.75256540995758,0.7071357664668783
650,223,exp,712,29,1707,0.5886206896551724,0.04073033707865169,0.041666666666666664,24.525862068965516,0.007399147823314611
652,223,exp,7,2,51,0.255,0.2857142857142857,0.2857142857142857,72.85714285714286,0.0067343029857142855
1039,222,exp,42388,3191,1226572,3.8438483234095893,0.07528073983202793,0.07823187624114344,300.7114663267057,0.814416456746937
1018,222,exp,633256,58234,15456788,2.6542549026342,0.09195964980987152,0.10745271704031738,285.2069010056278,0.7273659935763248
24,222,dz,488507,49362,8574038,1.7369713544832057,0.1010466584920994,0.11556695986458423,200.73649880949316,0.9111733548647187
1000,223,dz,110196,11919,1972152,1.6546287440221497,0.1081618207557443,0.11840027019778081,195.9084903692372,1.100000023841858
1030,222,dz,548999,54730,11108612,2.0297116754978988,0.0996905276694493,0.10893775241492286,221.11222797906834,0.8201079707595921
1029,222,dz,33283,2885,507708,1.7598197573656846,0.08668088814109305,0.0911388406254936,160.38793239614594,0.7884621412330198
8002,222,dz,26410,1741,212436,1.220195290063182,0.0659219992427111,0.06917239461242004,84.40383010846676,0.0
1000,223,exp,109027,11927,2020654,1.6941846231240045,0.1093949205242738,0.11976462791328185,202.90339100485002,1.100000023841858
8,222,dz,411979,38578,13315545,3.4515902846181765,0.09364069527815738,0.10866521884867485,375.06781365399405,0.9597534045339263
650,222,exp,2012,112,31822,2.84125,0.055666003976143144,0.05717202654415518,162.4400204185809,0.010781691039071624
1022,222,dz,52083,4652,599339,1.2883469475494411,0.0893189716414185,0.10159867214117237,130.89433912815585,0.8822784401131201
1047,222,exp,5847,458,242434,5.293318777292577,0.07833076791517017,0.07921134555517122,419.29090280179867,0.8626695237331206
1006,222,exp,101218,9360,1519388,1.6232777777777776,0.09247367069098382,0.09952893888965686,161.56311474538242,0.8800403101569558
6,223,dz,79037,6932,1040751,1.5013718984420081,0.08770575806267951,0.0958067280316223,143.8415291483539,0.9483658948652719
12,222,dz,162355,19885,5310196,2.670453105355796,0.12247851929413939,0.13532550257924897,361.3804085965891,0.9701774544382218
651,223,exp,2,0,0,"",0.0,0.0,0.0,0.00680160535
1028,223,dz,19303,1045,224219,2.145636363636364,0.05413666269491789,0.05579880392994447,119.72394275950448,0.7617956834147853
1047,223,exp,3865,199,89636,4.504321608040201,0.05148771021992238,0.052148846960167715,234.89517819706498,0.8615304862590493
1033,222,exp,2247,264,111196,4.211969696969697,0.11748998664886515,0.12054794520547946,507.74429223744295,0.9711140023997787
8003,222,exp,281536,26873,2669164,0.9932512186953447,0.09545138099568083,0.10120932965249191,100.52629002067648,0.0
36,222,dz,191336,26909,7448757,2.768128507190903,0.1406374127189865,0.16149631203375284,447.04254514682845,1.100000023841858
8002,223,exp,28155,1611,169563,1.0525325884543761,0.057218966435801814,0.06155198104917281,64.78546593818056,0.0
1042,222,dz,2924,253,51009,2.0161660079051384,0.08652530779753762,0.09074605451936872,182.95911047345768,0.868130256397897
1016,222,dz,1252,210,34196,1.6283809523809523,0.16773162939297126,0.168,273.568,0.9845330445557647
114,223,exp,519812,38577,10059737,2.6077032947092826,0.07421336944895462,0.08626496001717383,224.95342045474874,0.9038426972824811
680,222,exp,43665,2614,631936,2.417505738332058,0.059864880338944236,0.06769214833229749,163.64615703335406,0.02277345767761197
1016,222,exp,1214,185,41325,2.233783783783784,0.15238879736408567,0.15339966832504145,342.66169154228857,0.9822460750813221
603,222,dz,82422,4831,1089541,2.255311529703995,0.05861299167697945,0.0689266504016322,155.45106935467763,0.0
1043,223,exp,197,6,519,0.8650000000000001,0.030456852791878174,0.03125,27.03125,1.100000023841858
1007,222,exp,1142,107,32979,3.0821495327102806,0.09369527145359019,0.09452296819787986,291.3339222614841,0.9604874828582632
114,222,dz,670859,67193,24361024,3.625530040331582,0.10015964606571574,0.11513891792413063,417.43960574520804,0.9041053017823216
111,222,dz,1219080,140993,31901899,2.2626583589256204,0.11565524821996916,0.13595478748536727,307.61923633972253,0.9161800387812321
655,223,dz,3,0,0,"",0.0,0.0,0.0,0.0086167655
8002,222,exp,26327,1718,183426,1.0676717112922003,0.06525620085843431,0.0683699458771092,72.9966571155683,0.0
1029,222,exp,31667,2726,548182,2.0109391049156273,0.08608330438626961,0.0903187330196806,181.62547213571003,0.7886622860163282
1036,223,exp,46950,1813,579197,3.194688361831219,0.03861554845580405,0.041109246746179315,131.33123214366697,0.8110293839804082
12,222,exp,161081,19626,5282517,2.6915912564964843,0.12183932307348477,0.13462198016270424,362.34734473817787,0.9703662427844323
653,222,dz,12,2,131,0.655,0.16666666666666666,0.16666666666666666,109.16666666666667,0.010150353191666668
111,222,exp,1218400,141008,31987006,2.2684532792465677,0.11573210768220617,0.1358446795740692,308.1573088479965,0.9163358104300036
